,Time,Tcpu,Tw,Fan,Q,T_air
141,141.0,345.4943892212743,297.45158097087426,0.030053616000000002,84.0,293.15
142,142.0,345.4963764272352,297.45178163746135,0.030053616000000002,84.0,293.15
143,143.0,345.4982668137686,297.45197252752087,0.030053616000000002,84.0,293.15
144,144.0,345.5000650979858,297.4521541173446,0.030053616000000002,84.0,293.15
145,145.0,345.5017757671811,297.4523268600329,0.030053616000000002,84.0,293.15
146,146.0,345.50340309003155,297.4524911866069,0.030053616000000002,84.0,293.15
147,147.0,345.5049511272454,297.4526475070921,0.030053616000000002,84.0,293.15
148,148.0,345.5064237416948,297.4527962115375,0.030053616000000002,84.0,293.15
149,149.0,345.5078246080526,297.45293767099236,0.030053616000000002,84.0,293.15
150,150.0,345.50915722196225,297.45307223842804,0.030053616000000002,84.0,293.15
151,151.0,345.51042490875903,297.45320024962075,0.030053616000000002,84.0,293.15
152,152.0,345.5116308317675,297.45332202398873,0.030053616000000002,84.0,293.15
153,153.0,345.5127780001939,297.4534378653884,0.030053616000000002,84.0,293.15
154,154.0,345.5138692766356,297.45354806287156,0.030053616000000002,84.0,293.15
155,155.0,345.5149073842218,297.45365289141296,0.030053616000000002,84.0,293.15
156,156.0,345.51589491341014,297.4537526125878,0.030053616000000002,84.0,293.15
157,157.0,345.5168343284493,297.45384747522866,0.030053616000000002,84.0,293.15
158,158.0,345.5177279735284,297.4539377160452,0.030053616000000002,84.0,293.15
159,159.0,345.51857807862604,297.45402356021333,0.030053616000000002,84.0,293.15
160,160.0,345.51938676507456,297.45410522193885,0.030053616000000002,84.0,293.15
161,161.0,345.5201560508522,297.4541829049959,0.030053616000000002,84.0,293.15
162,162.0,345.5208878556208,297.45425680322455,0.030053616000000002,84.0,293.15
163,163.0,345.52158400551315,297.4543271010265,0.030053616000000002,84.0,293.15
164,164.0,345.5222462376915,297.45439397381705,0.030053616000000002,84.0,293.15
165,165.0,345.52287620468195,297.4544575884644,0.030053616000000002,84.0,293.15
166,166.0,345.5234754784972,297.45451810370895,0.030053616000000002,84.0,293.15
167,167.0,345.5240455545594,297.45457567055706,0.030053616000000002,84.0,293.15
168,168.0,345.5245878554323,297.45463043265846,0.030053616000000002,84.0,293.15
169,169.0,345.52510373437053,297.45468252666234,0.030053616000000002,84.0,293.15
170,170.0,345.52559447869623,297.4547320825616,0.030053616000000002,84.0,293.15
171,171.0,345.52606131301195,297.454779224014,0.030053616000000002,84.0,293.15
172,172.0,345.5265054022549,297.4548240686562,0.030053616000000002,84.0,293.15
173,173.0,345.52692785460545,297.4548667283924,0.030053616000000002,84.0,293.15
174,174.0,345.52732972425207,297.4549073096726,0.030053616000000002,84.0,293.15
175,175.0,345.52771201402123,297.45494591376143,0.030053616000000002,84.0,293.15
176,176.0,345.52807567788034,297.45498263699096,0.030053616000000002,84.0,293.15
177,177.0,345.528421623318,297.45501757099845,0.030053616000000002,84.0,293.15
178,178.0,345.5287507136082,297.4550508029594,0.030053616000000002,84.0,293.15
179,179.0,345.52906376996486,297.4550824158008,0.030053616000000002,84.0,293.15
180,180.0,345.5293615735919,297.45511248840575,0.030053616000000002,84.0,293.15
181,181.0,345.5296448676305,297.4551410958192,0.030053616000000002,84.0,293.15
182,182.0,345.52991435901583,297.4551683094257,0.030053616000000002,84.0,293.15
183,183.0,345.53017072023925,297.45519419713503,0.030053616000000002,84.0,293.15
184,184.0,345.5304145910273,297.4552188235473,0.030053616000000002,84.0,293.15
185,185.0,345.530646579938,297.4552422501151,0.030053616000000002,84.0,293.15
186,186.0,345.53086726587946,297.45526453529595,0.030053616000000002,84.0,293.15
187,187.0,345.5310771995547,297.4552857346995,0.030053616000000002,84.0,293.15
188,188.0,345.53127690483444,297.4553059012291,0.030053616000000002,84.0,293.15
189,189.0,345.5314668800667,297.4553250852058,0.030053616000000002,84.0,293.15
190,190.0,345.5316475993184,297.45534333450206,0.030053616000000002,84.0,293.15
191,191.0,345.53181951355896,297.4553606946575,0.030053616000000002,84.0,293.15
192,192.0,345.5319830517864,297.45537720899125,0.030053616000000002,84.0,293.15
193,193.0,345.5321386220963,297.45539291871495,0.030053616000000002,84.0,293.15
194,194.0,345.53228661270134,297.4554078630311,0.030053616000000002,84.0,293.15
195,195.0,345.53242739290033,297.4554220792296,0.030053616000000002,84.0,293.15
196,196.0,345.53256131399866,297.4554356027862,0.030053616000000002,84.0,293.15
197,197.0,345.53268871018486,297.4554484674503,0.030053616000000002,84.0,293.15
198,198.0,345.5328098993665,297.45546070532123,0.030053616000000002,84.0,293.15
199,199.0,345.5329251839612,297.4554723469382,0.030053616000000002,84.0,293.15
200,200.0,345.5330348516525,297.45548342135186,0.030053616000000002,84.0,293.15
201,201.0,345.5331391761068,297.4554939561991,0.030053616000000002,84.0,293.15
202,202.0,345.5332384176576,297.45550397776793,0.030053616000000002,84.0,293.15
203,203.0,345.5333328239547,297.4555135110645,0.030053616000000002,84.0,293.15
204,204.0,345.53342263058136,297.45552257987924,0.030053616000000002,84.0,293.15
205,205.0,345.5335080616425,297.4555312068441,0.030053616000000002,84.0,293.15
206,206.0,345.533589330325,297.4555394134856,0.030053616000000002,84.0,293.15
207,207.0,345.5336666394284,297.4555472202826,0.030053616000000002,84.0,293.15
208,208.0,345.53374018187156,297.45555464671645,0.030053616000000002,84.0,293.15
209,209.0,345.53381014117394,297.4555617113187,0.030053616000000002,84.0,293.15
210,210.0,345.5338766919132,297.4555684317203,0.030053616000000002,84.0,293.15
211,211.0,345.53394000016203,297.45557482468877,0.030053616000000002,84.0,293.15
212,212.0,345.5340002239008,297.4555809061797,0.030053616000000002,84.0,293.15
213,213.0,345.5340575134134,297.4555866913677,0.030053616000000002,84.0,293.15
214,214.0,345.53411201166153,297.4555921946889,0.030053616000000002,84.0,293.15
215,215.0,345.53416385464124,297.455597429877,0.030053616000000002,84.0,293.15
216,216.0,345.5342131717224,297.45560240999725,0.030053616000000002,84.0,293.15
217,217.0,345.53426008597233,297.45560714747563,0.030053616000000002,84.0,293.15
218,218.0,345.534304714462,297.45561165413403,0.030053616000000002,84.0,293.15
219,219.0,345.5343471685583,297.4556159412184,0.030053616000000002,84.0,293.15
220,220.0,345.53438755420217,297.4556200194276,0.030053616000000002,84.0,293.15
221,221.0,345.534425972173,297.45562389893735,0.030053616000000002,84.0,293.15
222,222.0,345.5344625183399,297.4556275894297,0.030053616000000002,84.0,293.15
223,223.0,345.5344972839009,297.4556311001141,0.030053616000000002,84.0,293.15
224,224.0,345.5345303556112,297.4556344397496,0.030053616000000002,84.0,293.15
225,225.0,345.5345618159985,297.45563761667097,0.030053616000000002,84.0,293.15
226,226.0,345.53459174356954,297.4556406388068,0.030053616000000002,84.0,293.15
227,227.0,345.5346202130066,297.4556435136979,0.030053616000000002,84.0,293.15
228,228.0,345.534647295353,297.4556462485179,0.030053616000000002,84.0,293.15
229,229.0,345.5346730581909,297.4556488500913,0.030053616000000002,84.0,293.15
230,230.0,345.53469756580915,297.4556513249108,0.030053616000000002,84.0,293.15
231,231.0,345.5347208793646,297.45565367915316,0.030053616000000002,84.0,293.15
232,232.0,345.53474305703486,297.4556559186911,0.030053616000000002,84.0,293.15
233,233.0,345.5347641541625,297.4556580491137,0.030053616000000002,84.0,293.15
234,234.0,345.5347842233935,297.4556600757389,0.030053616000000002,84.0,293.15
235,235.0,345.5348033148096,297.4556620036219,0.030053616000000002,84.0,293.15
236,236.0,345.5348214760516,297.455663837575,0.030053616000000002,84.0,293.15
237,237.0,345.53483875244007,297.4556655821729,0.030053616000000002,84.0,293.15
238,238.0,345.53485518708624,297.45566724177195,0.030053616000000002,84.0,293.15
239,239.0,345.53487029217473,297.45566876710916,0.030053616000000002,84.0,293.15
240,240.0,345.53488519013894,297.4556702715305,0.030053616000000002,84.0,293.15
241,241.0,345.5348993622431,297.4556717026527,0.030053616000000002,84.0,293.15
242,242.0,345.5349128438523,297.45567306404865,0.030053616000000002,84.0,293.15
243,243.0,345.5349256686092,297.45567435911454,0.030053616000000002,84.0,293.15
244,244.0,345.5349378685169,297.45567559108224,0.030053616000000002,84.0,293.15
245,245.0,345.5349494740195,297.4556767630255,0.030053616000000002,84.0,293.15
246,246.0,345.5349605140779,297.4556778778681,0.030053616000000002,84.0,293.15
247,247.0,345.5349710162412,297.45567893839427,0.030053616000000002,84.0,293.15
248,248.0,345.5349810067168,297.45567994724996,0.030053616000000002,84.0,293.15
249,249.0,345.5349905104356,297.45568090695156,0.030053616000000002,84.0,293.15
250,250.0,345.5349995511132,297.4556818198947,0.030053616000000002,84.0,293.15
251,251.0,345.5350081513098,297.45568268835734,0.030053616000000002,84.0,293.15
252,252.0,345.53501633248686,297.45568351450646,0.030053616000000002,84.0,293.15
253,253.0,345.53502411506,297.4556843004027,0.030053616000000002,84.0,293.15
254,254.0,345.5350315184494,297.45568504801,0.030053616000000002,84.0,293.15
255,255.0,345.5350385611302,297.45568575919185,0.030053616000000002,84.0,293.15
256,256.0,345.5350452606769,297.4556864357229,0.030053616000000002,84.0,293.15
257,257.0,345.53505163380737,297.45568707929294,0.030053616000000002,84.0,293.15
258,258.0,345.5350576964256,297.4556876915068,0.030053616000000002,84.0,293.15
259,259.0,345.5350634636606,297.4556882738911,0.030053616000000002,84.0,293.15
260,260.0,345.53506894990335,297.45568882790155,0.030053616000000002,84.0,293.15
261,261.0,345.5350741688451,297.4556893549186,0.030053616000000002,84.0,293.15
262,262.0,345.53507913350876,297.45568985625926,0.030053616000000002,84.0,293.15
263,263.0,345.5350838562839,297.45569033317213,0.030053616000000002,84.0,293.15
264,264.0,345.5350881969878,297.4556907715037,0.030053616000000002,84.0,293.15
265,265.0,345.5350924781707,297.4556912038256,0.030053616000000002,84.0,293.15
266,266.0,345.53509641300747,297.45569160117185,0.030053616000000002,84.0,293.15
267,267.0,345.5351001626155,297.4556919798135,0.030053616000000002,84.0,293.15
268,268.0,345.53510386080814,297.45569235326286,0.030053616000000002,84.0,293.15
269,269.0,345.53510737881703,297.45569270851695,0.030053616000000002,84.0,293.15
270,270.0,345.53511072542113,297.4556930464622,0.030053616000000002,84.0,293.15
271,271.0,345.53511380128583,297.4556933570684,0.030053616000000002,84.0,293.15
272,272.0,345.53511683497356,297.455693663416,0.030053616000000002,84.0,293.15
273,273.0,345.5351197208535,297.45569395483767,0.030053616000000002,84.0,293.15
274,274.0,345.53512237326686,297.45569422268267,0.030053616000000002,84.0,293.15
275,275.0,345.5351249008203,297.4556944779191,0.030053616000000002,84.0,293.15
276,276.0,345.53512739371536,297.4556947296558,0.030053616000000002,84.0,293.15
277,277.0,345.53512976515134,297.4556949691274,0.030053616000000002,84.0,293.15
278,278.0,345.5351319447389,297.45569518922576,0.030053616000000002,84.0,293.15
279,279.0,345.5351340217244,297.45569539896326,0.030053616000000002,84.0,293.15
280,280.0,345.53513607022967,297.4556956058251,0.030053616000000002,84.0,293.15
281,281.0,345.53513795301166,297.4556957959515,0.030053616000000002,84.0,293.15
282,282.0,345.53513980997667,297.4556959834703,0.030053616000000002,84.0,293.15
283,283.0,345.5351415167136,297.4556961558196,0.030053616000000002,84.0,293.15
284,284.0,345.53514320004734,297.4556963258058,0.030053616000000002,84.0,293.15
285,285.0,345.53514474719987,297.45569648203985,0.030053616000000002,84.0,293.15
286,286.0,345.53514622152164,297.4556966309193,0.030053616000000002,84.0,293.15
287,287.0,345.53514762644113,297.4556967727904,0.030053616000000002,84.0,293.15
288,288.0,345.53514896522546,297.45569690798305,0.030053616000000002,84.0,293.15
289,289.0,345.5351502409877,297.45569703681167,0.030053616000000002,84.0,293.15
290,290.0,345.5351514566947,297.45569715957583,0.030053616000000002,84.0,293.15
291,291.0,345.53515261517344,297.45569727656095,0.030053616000000002,84.0,293.15
292,292.0,345.5351537191179,297.45569738803914,0.030053616000000002,84.0,293.15
293,293.0,345.53515477109516,297.4556974942696,0.030053616000000002,84.0,293.15
294,294.0,345.5351557735516,297.4556975954994,0.030053616000000002,84.0,293.15
295,295.0,345.5351567288184,297.4556976919639,0.030053616000000002,84.0,293.15
296,296.0,345.5351576391169,297.45569778388733,0.030053616000000002,84.0,293.15
297,297.0,345.53515850656396,297.45569787148366,0.030053616000000002,84.0,293.15
298,298.0,345.5351593331768,297.45569795495635,0.030053616000000002,84.0,293.15
299,299.0,345.53516012087755,297.45569803449973,0.030053616000000002,84.0,293.15
300,300.0,345.53516087149814,297.45569811029867,0.030053616000000002,84.0,293.15
301,301.0,345.5351615867839,297.4556981825295,0.030053616000000002,84.0,293.15
302,302.0,345.5351622683983,297.45569825136005,0.030053616000000002,84.0,293.15
303,303.0,345.5351629406661,297.45569831924763,0.030053616000000002,84.0,293.15
304,304.0,345.53516355854777,297.45569838164215,0.030053616000000002,84.0,293.15
305,305.0,345.53516414734327,297.45569844109957,0.030053616000000002,84.0,293.15
306,306.0,345.53516470842175,297.4556984977581,0.030053616000000002,84.0,293.15
307,307.0,345.535165243088,297.4556985517495,0.030053616000000002,84.0,293.15
308,308.0,345.53516575258544,297.4556986031993,0.030053616000000002,84.0,293.15
309,309.0,345.5351662380987,297.4556986522273,0.030053616000000002,84.0,293.15
310,310.0,345.535166700757,297.4556986989472,0.030053616000000002,84.0,293.15
311,311.0,345.53516714163595,297.45569874346785,0.030053616000000002,84.0,293.15
312,312.0,345.53516756176094,297.45569878589276,0.030053616000000002,84.0,293.15
313,313.0,345.53516796210897,297.4556988263206,0.030053616000000002,84.0,293.15
314,314.0,345.535168343611,297.4556988648453,0.030053616000000002,84.0,293.15
315,315.0,345.5351687071542,297.45569890155656,0.030053616000000002,84.0,293.15
316,316.0,345.53516905358396,297.45569893653965,0.030053616000000002,84.0,293.15
317,317.0,345.5351693837058,297.4556989698759,0.030053616000000002,84.0,293.15
318,318.0,345.5351696982875,297.45569900164287,0.030053616000000002,84.0,293.15
319,319.0,345.5351699980606,297.45569903191443,0.030053616000000002,84.0,293.15
320,320.0,345.5351702837222,297.45569906076105,0.030053616000000002,84.0,293.15
321,321.0,345.5351705559365,297.4556990882497,0.030053616000000002,84.0,293.15
322,322.0,345.5351708153366,297.45569911444437,0.030053616000000002,84.0,293.15
323,323.0,345.53517106252565,297.45569913940597,0.030053616000000002,84.0,293.15
324,324.0,345.5351712980786,297.45569916319243,0.030053616000000002,84.0,293.15
325,325.0,345.53517152254295,297.45569918585926,0.030053616000000002,84.0,293.15
326,326.0,345.53517173644093,297.455699207459,0.030053616000000002,84.0,293.15
327,327.0,345.53517194026983,297.455699228042,0.030053616000000002,84.0,293.15
328,328.0,345.5351721345037,297.4556992476561,0.030053616000000002,84.0,293.15
329,329.0,345.53517232607436,297.45569926700045,0.030053616000000002,84.0,293.15
330,330.0,345.53517250214685,297.45569928478074,0.030053616000000002,84.0,293.15
331,331.0,345.5351726699309,297.455699301724,0.030053616000000002,84.0,293.15
332,332.0,345.5351728298166,297.45569931786963,0.030053616000000002,84.0,293.15
333,333.0,345.5351729821759,297.4556993332552,0.030053616000000002,84.0,293.15
334,334.0,345.53517312736307,297.4556993479165,0.030053616000000002,84.0,293.15
335,335.0,345.5351732657156,297.45569936188764,0.030053616000000002,84.0,293.15
336,336.0,345.5351733975554,297.455699375201,0.030053616000000002,84.0,293.15
337,337.0,345.5351735231889,297.4556993878877,0.030053616000000002,84.0,293.15
338,338.0,345.5351736429085,297.4556993999772,0.030053616000000002,84.0,293.15
339,339.0,345.53517375699226,297.45569941149756,0.030053616000000002,84.0,293.15
340,340.0,345.5351738657057,297.4556994224756,0.030053616000000002,84.0,293.15
341,341.0,345.5351739693015,297.45569943293697,0.030053616000000002,84.0,293.15
342,342.0,345.5351740680207,297.4556994429058,0.030053616000000002,84.0,293.15
343,343.0,345.5351741620927,297.4556994524054,0.030053616000000002,84.0,293.15
344,344.0,345.53517425173635,297.45569946145775,0.030053616000000002,84.0,293.15
345,345.0,345.5351743371602,297.455699470084,0.030053616000000002,84.0,293.15
346,346.0,345.5351744185627,297.4556994783042,0.030053616000000002,84.0,293.15
347,347.0,345.5351744961334,297.4556994861374,0.030053616000000002,84.0,293.15
348,348.0,345.5351745726403,297.4556994938631,0.030053616000000002,84.0,293.15
349,349.0,345.5351746429578,297.4556995009639,0.030053616000000002,84.0,293.15
350,350.0,345.53517470996525,297.4556995077304,0.030053616000000002,84.0,293.15
351,351.0,345.53517477381826,297.45569951417843,0.030053616000000002,84.0,293.15
352,352.0,345.5351748346656,297.4556995203229,0.030053616000000002,84.0,293.15
353,353.0,345.53517489467833,297.4556995263838,0.030053616000000002,84.0,293.15
354,354.0,345.5351749517675,297.4556995321481,0.030053616000000002,84.0,293.15
355,355.0,345.53517500423806,297.45569953744666,0.030053616000000002,84.0,293.15
356,356.0,345.5351750542385,297.4556995424958,0.030053616000000002,84.0,293.15
